Node,HRT,Total_Length,x_node,y_node
FMH7010360,1.9295964275255588,6886.0,832239.397,816540.321
FMH7012406,4.4646343783641935,16828.0,837791.0189999999,814698.008
FGJ7034352,2.8792035762741808,9789.0,836808.713,815687.5923999998
FGJ7035653,4.320071538543397,14832.0,837849.8689999998,815568.9179999998
FGJ7035643,4.362064426757688,14931.0,837787.2169999998,815530.351
FGJ7034456,2.9131200779088697,9942.0,836287.984,815382.2053
FGJ7034454,2.9158624210865427,9969.0,836224.88,815391.461
FMH7012084,2.852767016858447,9717.0,836584.865,815443.4059999998
FGJ7035622,4.554499850809799,17428.0,838189.006,814598.984
FGJ7037014,3.1364713910855304,11073.0,835594.903,815172.699
FLH7001640,4.512277231637274,17061.0,837801.354,814508.882
FMH7012420,4.499519503257936,16975.0,837778.233,814575.365
FGJ7034327,2.1848342695345346,7739.0,831737.295,816386.718
FGJ7035633,3.3049926753359196,12036.0,837705.577,814069.9399999998
FMH7010987,2.115947571366288,7790.0,832309.723,816251.194
FGJ7035663,4.347326951830455,14882.0,837845.941,815536.2759999998
FGJ7035662,4.350554859653896,14887.0,837857.812,815544.655
FGJ7035615,4.399832920937294,14967.0,837749.382,815516.809
FMH7013265,4.3606765691903835,14943.0,837773.218,815525.6829999998
FMH7014507,3.156711986109833,11122.0,835555.726,815192.7659999998
FMH7011132,1.9663130667086672,6945.0,832422.687,816452.963
FGJ7034700,3.120648720637813,10929.0,835658.517,815347.458
FLH7001521,3.005875042310433,10127.0,836172.831,815321.6899999998
FMH7070640,2.971085712676693,10136.0,837124.3323,815603.4617
FLH7001150,2.234798815484403,7854.0,831561.6679999998,816231.307
FLH7010862,1.8726941330618923,6461.0,833410.56,816255.4229999998
FGJ7036352,1.9902276931616765,6997.0,834151.306,816028.093
FGJ7036355,1.9699207709979296,6887.0,834140.643,816108.9939999998
FGJ7036358,1.9476319947701046,6902.0,834239.0605999999,816089.4606
FGJ7036359,1.9523233335297736,6910.0,834233.8419999998,816096.4716
FGJ7036676,2.0092243779514614,6816.0,832700.662,816494.886
FGJ7036675,2.0111407565686914,6824.0,832700.0579999998,816484.2319999998
FMH7057180,2.065082856680055,7444.0,832330.327,816395.702
FMH7063964,2.0086744162833976,6813.0,832701.135,816498.812
FLH7011640,3.236088426593188,11362.0,835988.702,815037.0139999999
FGJ7036366,2.1934714396321375,7852.0,833979.353,815949.2739999999
FGJ7036365,2.188973188876904,7844.0,833987.939,815948.65
FMH7007789,2.914250326392287,9618.0,836724.61,815633.859
FGJ7010180,1.9052022342358998,7346.0,833556.245,815648.827
FGJ7012140,1.9782200898924278,6707.0,833601.523,816351.441
FMH7061721,4.067848267297631,13982.0,834155.034,812382.05
FMH7062523,2.7314885970796707,9898.0,831523.5479999998,814808.3719999999
FLH7014520,3.787342168094816,12855.0,841288.175,815629.1459999998
FGJ7021122,1.8610132048928185,6710.0,833390.572,816140.679
FGJ7001595,2.0739008835820756,7548.0,832486.868,816370.331
FMH7010931,1.955401619748707,6742.0,832541.0,816433.4279999998
FGJ7034672,2.0007959305653773,6838.0,832533.0,816402.4279999998
FGJ7001643,2.882025076991035,9816.0,836187.265,815592.692
FMH7010647,2.0993115461817493,7655.0,832215.598,816295.3719999999
FMH7012628,4.5675998073640605,17305.0,837717.052,814339.365
FGJ7001947,4.398688360401353,14991.0,837732.1509999998,815522.056
FMH7010720,1.9939232066809827,7145.0,832098.302,816393.302
FTH7005880,1.9338908568669904,6846.0,832395.4154,816554.3317
FGJ7034682,2.1333005452439964,7797.0,832485.142,816254.8449999999
FMH7015240,4.469473782142303,14984.0,837680.3959999998,815506.167
FMH7011207,2.0095812480901136,7104.0,832444.6617,816395.3316
FMH7016418,4.241526827451459,14226.0,837863.0,816109.632
FGJ7001921,3.074133615842558,10442.0,837517.125,815593.0
FGJ7034674,2.07027398193637,7518.0,832357.65,816304.62
FGJ7034679,1.9846666736620506,7008.0,832390.464,816463.493
FGJ7034683,2.1416277377220045,7819.0,832489.8959999998,816275.415
