FEAT_NUM,Unnamed: 0,OID_,FR_PNT,TO_PNT,WIDTH,HEIGHT,SHAPE_DESC,US_IL,DS_IL,GEOMETRY_L,us_x,us_y,ds_x,ds_y,Assigned_Outfall,stay
FWD4002357,11909,11909,FMH4002156,FMH4002161,150,0,Circular,4.039982931117383,4.0,6,835423.9719999998,818245.685,835422.174,818240.197,SCISTW,True
FWD4010826,11912,11912,FMH4002236,FMH4002240,150,0,Circular,10.736604080763739,10.75,3,835656.5189999999,818275.8639999998,835656.2759999998,818278.679,SCISTW,True
FWD4002505,11913,11913,FMH4002304,FMH4099013,150,0,Circular,9.79,9.73559727949084,3,835695.6829999998,818345.5699999998,835695.5108,818348.6592,SCISTW,True
FWD4002506,11914,11914,FMH4002305,FMH4002306,150,0,Circular,9.28,9.25,5,835695.0359999998,818356.62,835694.31,818361.881,SCISTW,True
FWD4002620,11915,11915,FMH4002414,FMH4002424,150,0,Circular,3.97,2.533395919236262,3,835522.846,818570.905,835522.5949999999,818573.685,SCISTW,True
FWD4000502,11917,11917,FMH4000482,FMH4000483,225,0,Circular,13.66,12.68,3,836051.098,818052.165,836053.832,818051.292,SCISTW,True
FWD4000576,11918,11918,FMH4000485,FMH4000484,150,0,Circular,12.39,11.7,14,836046.067,818042.7639999999,836059.099,818047.767,SCISTW,True
FWD4011071,11920,11920,FMH4009251,FMH4009252,225,0,Circular,2.45,2.3,11,836172.3175999998,818018.7365999998,836168.971,818008.6439999999,SCISTW,True
FWD4011069,11921,11921,FMH4009249,FMH4009250,225,0,Circular,2.73,2.52,10,836177.3401,818034.8205,836174.9253999998,818025.2975,SCISTW,True
FWD4000542,11922,11922,FMH4000578,FMH4000451,150,0,Circular,3.66,3.5,8,836200.653,818083.5089999998,836204.001,818091.241,SCISTW,True
FWD4010342,11923,11923,FMH4008600,FMH4008601,225,0,Circular,5.9,5.87,4,835780.277,818599.3079999998,835776.7419999999,818599.336,SCISTW,True
FWD4002656,11924,11924,FMH4002449,FMH4002450,150,0,Circular,2.2837469379065953,2.753395919236262,6,835303.866,818557.532,835303.594,818551.2859999998,SCISTW,True
FWD4013072,11927,11927,FMH4010971,FMH4010972,300,0,Circular,3.52,3.46,5,834637.3569999998,820296.177,834642.51,820296.333,SCISTW,True
FWD4013073,11928,11928,FMH4010972,FMH4010973,300,0,Circular,3.46,3.29,23,834643.26,820296.348,834666.332,820296.5749999998,SCISTW,True
FWD4013075,11929,11929,FMH4010974,FMH4010975,300,0,Circular,3.2,3.15,10,834666.729,820314.3079999998,834666.885,820324.199,SCISTW,True
