node,type,invert_elev,x,y,catchment
FCH1001681,junction,102.88244145549956,815925.1343999999,830518.9328000005,Pillar_Point_STW
FCH1001740,junction,-3.65,835868.7744000005,835147.4510999992,Tai_Po_Sewage_Treatment_Works
FCH1001741,junction,1.6075850406369994,836085.6306999996,835125.9231000002,Tai_Po_Sewage_Treatment_Works
FCH1001742,junction,2.077585040636999,836265.2691000002,835243.9156999998,Tai_Po_Sewage_Treatment_Works
FCH1001744,junction,0.5225196576356632,836350.1906000003,835287.5946999993,Tai_Po_Sewage_Treatment_Works
FCH1001745,junction,0.7625196576356634,836356.4999000002,835415.7170000002,Tai_Po_Sewage_Treatment_Works
FCH1001746,junction,1.7125196576356634,836425.2938999999,835504.0120999999,Tai_Po_Sewage_Treatment_Works
FCH1001747,junction,1.1225196576356635,836497.6578000002,835522.1686000004,Tai_Po_Sewage_Treatment_Works
FCH1001748,junction,1.2725196576356634,836618.9919999996,835506.7520000003,Tai_Po_Sewage_Treatment_Works
FCH1001760,junction,2.4225196576356636,836815.6940000001,835511.8239999991,Tai_Po_Sewage_Treatment_Works
FCH1001761,junction,3.022519657635663,836927.5,835584.5380000006,Tai_Po_Sewage_Treatment_Works
FCH1001762,junction,3.172519657635663,837048.5539999995,835746.9419999998,Tai_Po_Sewage_Treatment_Works
FCH1001781,junction,4.750532395404476,820319.8339999998,833260.7890000008,Yuen_Long_STW
FCH1001782,junction,4.820532395404475,820335.2549999999,833347.9450000003,Yuen_Long_STW
FCH1001783,junction,3.81,820560.3969999999,833486.3210000005,Yuen_Long_STW
FCH1001800,junction,3.398,822286.767,833709.1180000007,San_Wai_STW
FCH1001801,junction,6.388,821722.006,832880.534,San_Wai_STW
FCH1001802,junction,0.20800000000000002,821254.3569999998,832696.1600000001,San_Wai_STW
FCH1001940,junction,22.06177387091609,836185.1770000001,842272.7090000007,Shek_Wu_Hui_STW
FCH1002003,junction,21.86177387091609,836188.398,842278.5969999991,Shek_Wu_Hui_STW
FCH1002004,junction,24.72877387091609,836215.2460000003,842264.4199999999,Shek_Wu_Hui_STW
FCH1002021,junction,0.64,824004.8789999997,833359.1219999995,Yuen_Long_STW
FCH1002022,junction,0.64,824000.369,833350.8110000007,Yuen_Long_STW
FCH1002024,junction,4.06,823746.8679999998,833747.8359999992,Yuen_Long_STW
FCH1002025,junction,0.73,823703.4819999998,833792.3819999993,Yuen_Long_STW
FCH1002028,junction,-1.97,823474.5109999999,834021.8760000002,Yuen_Long_STW
FCH1002029,junction,0.72,823242.9749999996,834280.9810000006,Yuen_Long_STW
FCH1002031,junction,-2.23,823215.5959999999,834293.0940000005,Yuen_Long_STW
FCH1002032,junction,-2.18,823153.2750000004,834359.6349999998,Yuen_Long_STW
FCH1002033,junction,1.34,823048.1500000004,834548.8589999992,Yuen_Long_STW
FCH1002034,junction,-1.22,823048.0480000004,834567.9829999991,Yuen_Long_STW
